"0","TEXT_BANARK126_04576_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整（限定職業）<hex:0249020103><hex:0248020103><hex:02100103>※本任務需要與接受任務時的職業相同才可繼續進行任務。<hex:02100103><hex:02100103>大金庫的摩羅盧著急想要召集人手。"
"1","TEXT_BANARK126_04576_SEQ_01",""
"2","TEXT_BANARK126_04576_SEQ_02",""
"3","TEXT_BANARK126_04576_SEQ_03",""
"4","TEXT_BANARK126_04576_SEQ_04",""
"5","TEXT_BANARK126_04576_SEQ_05",""
"6","TEXT_BANARK126_04576_SEQ_06",""
"7","TEXT_BANARK126_04576_SEQ_07",""
"8","TEXT_BANARK126_04576_SEQ_08",""
"9","TEXT_BANARK126_04576_SEQ_09",""
"10","TEXT_BANARK126_04576_SEQ_10",""
"11","TEXT_BANARK126_04576_SEQ_11",""
"12","TEXT_BANARK126_04576_SEQ_12",""
"13","TEXT_BANARK126_04576_SEQ_13",""
"14","TEXT_BANARK126_04576_SEQ_14",""
"15","TEXT_BANARK126_04576_SEQ_15",""
"16","TEXT_BANARK126_04576_SEQ_16",""
"17","TEXT_BANARK126_04576_SEQ_17",""
"18","TEXT_BANARK126_04576_SEQ_18",""
"19","TEXT_BANARK126_04576_SEQ_19",""
"20","TEXT_BANARK126_04576_SEQ_20",""
"21","TEXT_BANARK126_04576_SEQ_21",""
"22","TEXT_BANARK126_04576_SEQ_22",""
"23","TEXT_BANARK126_04576_SEQ_23",""
"24","TEXT_BANARK126_04576_TODO_00","和尋求幫助的送貨員對話"
"25","TEXT_BANARK126_04576_TODO_01","收集<hex:022811FF0A4576656E744974656DF61E91D40103>"
"26","TEXT_BANARK126_04576_TODO_02","將貨物交給尋求幫助的送貨員"
"27","TEXT_BANARK126_04576_TODO_03","向摩羅盧報告"
"28","TEXT_BANARK126_04576_TODO_04",""
"29","TEXT_BANARK126_04576_TODO_05",""
"30","TEXT_BANARK126_04576_TODO_06",""
"31","TEXT_BANARK126_04576_TODO_07",""
"32","TEXT_BANARK126_04576_TODO_08",""
"33","TEXT_BANARK126_04576_TODO_09",""
"34","TEXT_BANARK126_04576_TODO_10",""
"35","TEXT_BANARK126_04576_TODO_11",""
"36","TEXT_BANARK126_04576_TODO_12",""
"37","TEXT_BANARK126_04576_TODO_13",""
"38","TEXT_BANARK126_04576_TODO_14",""
"39","TEXT_BANARK126_04576_TODO_15",""
"40","TEXT_BANARK126_04576_TODO_16",""
"41","TEXT_BANARK126_04576_TODO_17",""
"42","TEXT_BANARK126_04576_TODO_18",""
"43","TEXT_BANARK126_04576_TODO_19",""
"44","TEXT_BANARK126_04576_TODO_20",""
"45","TEXT_BANARK126_04576_TODO_21",""
"46","TEXT_BANARK126_04576_TODO_22",""
"47","TEXT_BANARK126_04576_TODO_23",""
"48","TEXT_BANARK126_04576_MARU_000_001","<hex:022903EB0203>，你來得正好。<hex:02100103>同伴發來聯繫說是送貨途中出了問題。<hex:02100103>事出突然，可以麻煩你去一趟戴米爾遺烈鄉嗎？"
"49","TEXT_BANARK126_04576_MARU_000_002","那邊說最好是能找個擅長游泳的人過去幫忙……<hex:02100103>雖說我們悌陽象族也能游泳，但並不擅長。<hex:02100103>所以能請你幫個忙嗎？"
"50","TEXT_BANARK126_04576_MARU_000_003","同伴好像就在戴米爾遺烈鄉旁邊等著呢。<hex:02100103>你就去那邊找尋求幫助的送貨員，提供一下幫助吧。"
"51","TEXT_BANARK126_04576_DELIVERER04576_000_010","你、你是……摩羅盧請來的人吧！<hex:02100103>請你幫幫我，貨物掉進水裡了……<hex:02100103>這樣下去的話，重要的貨物會被沖走的！"
"52","TEXT_BANARK126_04576_DELIVERER04576_000_011","掉落在淺處的貨物我都已經回收得差不多了，<hex:02100103>這前面應該還有3個<hex:022811FF0A4576656E744974656DF61E91D40103>！<hex:02100103>請一定要趕在它們被沖走前拿回來！"
"53","TEXT_BANARK126_04576_DELIVERER04576_000_012","還好你過來了，我都不知該如何是好了！<hex:02100103>這前面應該還有3個<hex:022811FF0A4576656E744974656DF61E91D40103>！<hex:02100103>請一定要趕在它們被沖走前拿回來！"
"54","TEXT_BANARK126_04576_DELIVERER04576_000_020","已經都順利回收<hex:022811FF0A4576656E744974656DF61E91D40103>了嗎？"
"55","TEXT_BANARK126_04576_DELIVERER04576_000_030","非常感謝，真是幫大忙了！<hex:02100103>我來遺烈鄉這邊送貨，結果剛到這裡，<hex:02100103>河馬就突然變得異常興奮……！"
"56","TEXT_BANARK126_04576_DELIVERER04576_000_031","結果車翻了，我和貨物都一起落入了水中！<hex:02100103>雖然我趕在沉底之前把大部分貨物都收了回來，<hex:02100103>卻眼看著剩下的就這樣被沖走……能拿回來真是太好了……"
"57","TEXT_BANARK126_04576_DELIVERER04576_000_032","你來得這麼及時，我都不知道該怎麼感謝你了。<hex:02100103>我先把貨物整理一下，稍事休息就會回去的，<hex:02100103>麻煩你先回去跟摩羅盧報告一下吧。"
"58","TEXT_BANARK126_04576_DELIVERER04576_000_033","真是幫大忙了！<hex:02100103>我先把貨物整理一下，稍事休息就會回去的，<hex:02100103>麻煩你先回去跟摩羅盧報告一下吧。"
"59","TEXT_BANARK126_04576_MARU_000_040","你回來啦。<hex:02100103>尋求幫助的同伴沒事吧？"
"60","TEXT_BANARK126_04576_MARU_000_041","這樣啊，真是太好了。<hex:02100103>不過河馬突然興奮是怎麼回事？<hex:02100103>是剛進入遺烈鄉的時候嗎……"
"61","TEXT_BANARK126_04576_MARU_000_042","難不成是那裡調製了什麼特殊的鍊金藥，<hex:02100103>其氣味刺激到了河馬……？<hex:02100103>這件事關乎安全問題，必須徹查原因才行……"
