"0","テストデータ"
"1","シュポシェのヒント（仮）"
"2","古ぼけた貼り紙がある。<hex:02100103><hex:02100103><hex:02100103>“3:34<hex:02100103>私は鬼哭隊壱番槍、探索班リデル。<hex:02100103>後続隊へ向けメモを残す。”<hex:02100103>“洞内に浮遊する緑の光を「魔導フォトセル」と命名。<hex:02100103>収集を開始。”"
"3","古ぼけた貼り紙がある。<hex:02100103><hex:02100103><hex:02100103>“3:55<hex:02100103>4つめの「魔導フォトセル」を回収すると、各々が振動を開始。<hex:02100103>フォトセルを分析するため、洞外へ持ち出したところ消滅した。”"
"4","古ぼけた貼り紙がある。<hex:02100103><hex:02100103><hex:02100103>“4:12<hex:02100103>通路を遮断する青い光の壁を「魔導フィールド」と命名。<hex:02100103>これは「魔導ターミナル」の起動によって消滅することを確認。”"
"5","古ぼけた貼り紙がある。<hex:02100103><hex:02100103><hex:02100103>“4:36<hex:02100103>｢魔導フィールド｣が再度、出現した時のために記す。<hex:02100103>｢魔導ターミナル｣は、4つのフォトセルの振動によって起動可能。”"
"6","5:03　この先で通路が落ち込み、分断されている。<hex:02100103>おそらく下りたら戻れない。後続隊は注意されたし。"
"7","古ぼけた貼り紙がある。<hex:02100103><hex:02100103><hex:02100103>“5:45<hex:02100103>再び強力な魔物と交戦。当方にも負傷者が出た。<hex:02100103>これ以上の調査続行について、隊員と協議を続けている。”"
"8","古ぼけた貼り紙がある。<hex:02100103><hex:02100103><hex:02100103>“6:22<hex:02100103>咳き込む者、多数。原因は不明だが、私は撤退を決断。<hex:02100103>メモはここまでとする。後続隊はくれぐれも注意されたし。”"
"9","メモらしきものを見つけた。<hex:02100103><hex:02100103>船長は晴天の「青」い海原がお好き"
"10","メモらしきものを見つけた。<hex:02100103><hex:02100103>船長は上物の「赤」ワインがお好き"
"11","メモらしきものを見つけた。<hex:02100103><hex:02100103>船長は新鮮な「緑」の野菜がお好き"
"12","あれから、何日が過ぎただろう。<hex:02100103>今日、ウルダハのクイックサンドで、あの冒険者と会った。<hex:02100103>わたしの最愛の人が気にかけていた冒険者だ。<hex:02100103>わたしは、冒険者に思いの丈を伝えた。<hex:02100103>そして自分に、前を向いて生きようと誓った。"
"13","わたしとあの人が育った故郷に帰ってきた。<hex:02100103>子どもの頃には広く感じた村も、<hex:02100103>今では何だか、とても狭く感じる。<hex:02100103>わたしが世界の広さを知ってしまったからだろう。<hex:02100103>そう、わたしとあの人は、ともに夢見た。<hex:02100103>広い世界での胸躍るような冒険を。<hex:02100103>やっぱり、この狭苦しい村は、あの人に相応しくない。<hex:02100103>冒険に出よう。<hex:02100103>もう一度、あの人といっしょに。"
"14","初めてのモードゥナ。<hex:02100103>クリスタルに満ちた銀泪湖は美しく輝き、<hex:02100103>まるで、わたしたちの訪れを祝福しているよう。<hex:02100103>湖のほとりで、あの人と見つめ合う幸せな一時。<hex:02100103>日が暮れるまで、ふたりきりの時間を過ごした。<hex:02100103>これからもずっと一緒だ……あの人の言葉が嬉しかった。"
"15","最近なんだか、あの人の顔色が悪い。<hex:02100103>やっぱり、ザナラーンに来たのが悪かったんだ。<hex:02100103>あの人は熱いのが苦手だから。<hex:02100103>凍てつくように寒いクルザスに行こう。<hex:02100103>そうすれば、きっとあの人だって元気になる。<hex:02100103>そうすれば、耳元で囁くこともやめてくれるはず。"
"16","うん、わかってる。<hex:02100103>わかってるよ、自由に動ける身体がいるよね。<hex:02100103><hex:02100103>うんうん、わかってる。<hex:02100103>そんなに毎日毎日毎日、囁かないでもいいんだよ。<hex:02100103>何も言わなくたって、あなたが言いたいことはわかるの。<hex:02100103>だって、わたしはあなたのお嫁さんになるんだから。<hex:02100103>だからもう、囁き続けるのはやめて。<hex:02100103>あなたにふさわしい身体を見つけるから。"
