"0","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_001","「ゲロルト」さんから、<hex:02100103>探索の切り札を受け取ってきてくれるかしら？<hex:02100103>よろしくお願いね。"
"1","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_005","……切り札は受け取れたみたいだけど、<hex:02100103>まだ何か、やるべきことがあるみたいね？<hex:02100103>なら、先にそっちを済ませちゃって。"
"2","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_010","おつかれさま。<hex:02100103>マギアボードは無事に受け取れたみたいだし、<hex:02100103>探索開始……の前に、ちょっとだけ現状の確認をさせて。"
"3","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_011","バル島の中央部には、委員会の本部塔があるんだけど、<hex:02100103>その周辺に、魔法障壁が張られている様子が確認できたわ。<hex:02100103>誰かが、防御機構を作動させたみたい……。"
"4","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_012","もし……仮にもし、生存者が残っているとしたら、<hex:02100103>きっとそこにいるはず。<hex:02100103>まずは本部塔へ向かうことを大目標としましょう。"
"5","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_013","それじゃあ、どうやって行くのかってことだけど……。<hex:02100103>魔法障壁がある以上、歩いて近づくのは難しいわ。<hex:02100103>だから、島内転送網を使うしかない。"
"6","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_014","なんだけど、その転送網はいま不活性化していて……。<hex:02100103>これを復旧させるのが、当面の目的ね。"
"7","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_015","そのために、あなたにお願いしたいことは、ふたつ。<hex:02100103>ひとつは、島内転送網の装置を見つけたら、交感してほしいの。<hex:02100103>使えるならよし、使えないなら原因を調べて復旧させるわ。"
"8","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_016","もうひとつは……この周辺の魔物から得られる、<hex:02100103>「<hex:02280BFF054974656DF255290103>」を1個、手に入れて。"
"9","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_017","ごめんなさい、スポンサーさんからの依頼なのよ。<hex:02100103>調査の費用を負担してくれている以上、要望には応えないと。<hex:02100103>ここの魔物に慣れるためにも有用だと思うし、よろしくね。"
"10","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_018","……ここでの冒険は、いままでと勝手が違うはずよ。<hex:02100103>だから焦らず、ひとつずつ、慎重に、行きたいの。<hex:02100103>あなたも、十分に気をつけて。"
"11","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_019","そうそう、出発するときは、<hex:02100103>そこのエーテライトと交感しておいてね。<hex:02100103>さっき調べたけれど、ちゃんと使えるはずだから。"
"12","TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_100_019","「禁断の地 エウレカ」におけるストーリーの進行では、<hex:02100103>目的リストや地図に、ヒントが表示されない場合があります。<hex:02100103>プレイヤー同士で情報交換をして、進めていきましょう"
"13","TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_000_20","「調査隊の補給担当」から、<hex:02100103>コンテンツ内で使用できるアイテムを購入可能になりました。<hex:02100103>冒険を安全に進めるためにも、確認してみましょう！"
"14","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_030","この周辺の魔物から得られる、<hex:02100103>「<hex:02280BFF054974656DF255290103>」を1個、手に入れてちょうだい。<hex:02100103>スポンサーさんからの依頼だから、よろしくね。"
"15","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_035","おつかれさま！<hex:02100103>「<hex:02280BFF054974656DF255290103>」は手に入った？"
"16","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_036","……うん、確かに。<hex:02100103>おつかれさま！<hex:02100103>どう、ここでの戦いには慣れたかしら？"
"17","TEXT_CTSERKEUREKA1EVENTKRILE_00455_Q1_000_000","何と答える？"
"18","TEXT_CTSERKEUREKA1EVENTKRILE_00455_A1_000_001","慣れた"
"19","TEXT_CTSERKEUREKA1EVENTKRILE_00455_A1_000_002","まだ慣れない"
"20","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_037","さすがは歴戦の冒険者。<hex:02100103>あっという間にいつもの調子ね。<hex:02100103>とっても心強いわ！"
"21","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_038","さすがのあなたでも、苦戦してるわね。<hex:02100103>こんな異常な環境だもの、無理もないわ。<hex:02100103>先へ進むときは、焦らず慎重に、よ。"
"22","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_039","さて、これからの話なんだけど……<hex:02100103>島内転送網を復旧させるために、地脈を調べていたら、<hex:02100103>転送を阻害している乱れを見つけたわ。"
"23","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_040","その乱れの原因が特定できれば、<hex:02100103>あなたに現地調査をお願いしようと思うの。<hex:02100103>しばらくしたら、また私に声をかけてちょうだい。"
"24","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_041","……っと、「<hex:02280BFF054974656DF255290103>」は返しておくわね。<hex:02100103>スポンサーさんによると、「ゲロルト」さんに渡せば、<hex:02100103>必要な物を作ってくれるらしいから、頼んでみるといいわ。"
"25","TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_000_042","集めた「<hex:02280BFF054974656DF255290103>」は、<hex:02100103>「ゲロルト」に渡すことで、<hex:02100103>ジョブクエストで入手した一部の装備を強化できます。"
"26","TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_100_042","「禁断の地 エウレカ」で入手できる「ロックボックス」の解錠を、<hex:02100103>「調査隊の調達係」や「ル・ゴナツィ」に頼めるようになりました。<hex:02100103>解錠してもらうことで、さまざまなアイテムを入手できます。"
"27","TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_000_043","なお、次のストーリーは、<hex:02100103>「エレメンタルレベル」が「3」以上のとき、<hex:02100103>進行させることができます。"
"28","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_050","ごめんなさい、まだ乱れの原因を絞りきれていなくて……。<hex:02100103>またしばらくしたら、私に声をかけてちょうだい。"
"29","TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_000_051","次のストーリーは、<hex:02100103>「エレメンタルレベル」が「3」以上のとき、<hex:02100103>進行させることができます。"
"30","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_055","待たせてしまって、ごめんなさい。<hex:02100103>ついに地脈の乱れの原因を突き止めたわ！"
"31","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_056","エーテル学的にはあり得ない場所に、地脈の結節点が見つかったの。<hex:02100103>そのせいで、エーテルの流れが大きく変化し、<hex:02100103>地脈全体が不安定になって、乱れがでていたのよ。"
"32","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_057","なぜこんな異常な結節点ができたのか……。<hex:02100103>地脈の観測だけじゃ、理由を突き止められなかったわ。<hex:02100103>だから、あなたに現地を調査してきてほしいの。"
"33","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_058","異常な結節点が見つかったのは、拠点の北西よ。<hex:02100103>私の記憶どおりなら、丘の上にある原初自然史院分室のあたりね。<hex:02100103>何が待ち受けているかわからないから、くれぐれも気を付けて！"
"34","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_060","異常な結節点は拠点の北西、原初自然史院分室のあたりよ。<hex:02100103>もしかしたら、地形が大きく変わってるかもしれない……。<hex:02100103>調査するときは気をつけて。"
"35","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_070","おかえりなさい！<hex:02100103>現地調査の首尾はどう？<hex:02100103>何か発見できたかしら？"
"36","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_071","地脈の結節点の中から、魔晶石を発見したですって？<hex:02100103>……実は、あなたが現地調査に向かっている間に、<hex:02100103>異常な結節点が消失、地脈の一部が安定したの。"
"37","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_072","詳しくは調べてみないとわからないけど、<hex:02100103>魔晶石が地脈に影響を及ぼして、結節点を造り出していたのかも。"
"38","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_073","ともかく、その魔晶石はあなたが使って。<hex:02100103>マギアボードに組み込めば、あなたの力になるはずだから。"
"39","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_074","私は引き続き、地脈の調査をするわ。<hex:02100103>完全に地脈が安定したわけじゃないもの。<hex:02100103>ほかにも、エーテルの流れを乱す要因があるはずよ。"
"40","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_075","何か見つけたら、あなたの力を借りると思うわ。<hex:02100103>またしばらくしたら、私に声をかけてちょうだい。"
"41","TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_000_076","次のストーリーは、<hex:02100103>「エレメンタルレベル」が「5」以上のとき、<hex:02100103>進行させることができます。"
"42","TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_080","ごめんなさい、いまのところ何も見つかってないわ。<hex:02100103>もう少し調べる時間をちょうだい。"
"43","TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_000_081","次のストーリーは、<hex:02100103>「エレメンタルレベル」が「5」以上のとき、<hex:02100103>進行させることができます。"
