"0","",""
"1","どうだ、俺の力は……！<hex:02100103>またひとつ、主に近づけただろうか。","私の力は、どうですか？<hex:02100103>またひとつ、主に近づけたでしょうか。"
"2","次の試練も俺に任せておけ！<hex:02100103>さぁ、行くぞ！","次の試練も私にお任せください。<hex:02100103>さぁ、行きましょう！"
"3","主との試練の旅は、苦難の連続だ……。<hex:02100103>そうか……俺の決意が試されてるのか……。","主との試練の旅は、苦難の連続です……。<hex:02100103>私の決意が試されているのですね……。"
"4","なかなか、骨が折れる試練だ……。<hex:02100103>しかし、主の隣で戦えるのならば、<hex:02100103>この程度、どうってことない……！","なかなか、骨が折れる試練です。<hex:02100103>しかし、主の隣で戦えるのならば、<hex:02100103>この程度、どうってことありません……！"
"5","主、そんな真剣に俺のことを見て……何かあったか？<hex:02100103>疲れているのかと気遣ってくれたならば、心配はない。<hex:02100103>まだまだ、俺は戦えるぞ！","主、そんな真剣に私のことを見てどうしました？<hex:02100103>疲れているのかと気遣ってくださったのなら、心配なさらず。<hex:02100103>まだまだ、私は戦えます！"
"6","本当に、これで新たな力が手に入るのだろうか……。<hex:02100103>……いや、弱音なんて吐いてはいけないな。<hex:02100103>主……行こう！","本当に、これで新たな力が手に入るのでしょうか……。<hex:02100103>……いいえ、弱音なんて吐いてはいけませんね！<hex:02100103>主……行きましょう！"
"7","見てみろ、主！<hex:02100103>なんだか、以前より力が扱いやすくなっている！<hex:02100103>試練を乗り越えた頃には、俺はもっと強くなっているぞ！","見てください、主！<hex:02100103>なんだか、以前より力が扱いやすくなっています！<hex:02100103>試練を乗り越えた頃には、私はもっと強くなっているでしょう！"
"8","どうだ、主……期待に応えられるものになっているか？<hex:02100103>主にたくさん使ってもらうため、<hex:02100103>まだまだ、頑張るぞ。","主の期待に応えられるものになっていますか？<hex:02100103>あなたにたくさん使ってもらうため、<hex:02100103>まだまだ、頑張ります！"
"9","いままで、主が与えてくれた力が、<hex:02100103>ひとつに集まってきているのか……？","いままで、主が与えてくれた力が、<hex:02100103>ひとつに集まっている気がします……。"
"10","あと少しで、力を自分のものにできるような気がするんだ。","あと少しで、力を自分のものにできるような気がします。"
"11","溢れそうになっていた力がひとつになった気がする……。<hex:02100103>これが、試練の成果だというのか……！","溢れそうになっていた力がひとつになった気がします。<hex:02100103>これが、試練の成果……なのですね！"
