"0","TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_000","へっ、来やがったか。<hex:02100103>今回もテメェのために、いろいろと用意してやったぜ。<hex:02100103>だが、説明の前に、まずは「クルル」の嬢ちゃんと話してこい。"
"1","TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_010","おう、よく来たな。<hex:02100103>今回もテメェのために、いろいろと用意したンだ。<hex:02100103>耳をかっぽじって、俺の説明を聞きやがれ！"
"2","TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_011","まずはひとつ、ロゴスミキサー関係の話だ。<hex:02100103>保存技術が進んで、薬品の所持数を増やす算段がついた。<hex:02100103>これについては「調査隊の錬金術師」から聞け。"
"3","TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_012","次、マギアボードのさらなる改良だ。<hex:02100103>これで7つ目の魔晶石を組み込めるようになる。<hex:02100103>こっちは前回と同じ、「調査隊の技師」に確認しろ。"
"4","TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_013","最後は、武器の強化だ。<hex:02100103>こいつはもちろん、俺が面倒を見てやる。<hex:02100103>強化を始めたいなら、この後でもう一度、声をかけな。"
"5","TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_100_013","ああ、それとついでだ……。"
"6","TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_110_013","ドレイク、あの件について説明してやれ！"
"7","TEXT_CTSERKEUREKA4STORYGEROLT_00548_DRAKE_120_013","冒険者さんにご報告です。<hex:02100103>このヒュダトス帯で、新種のロゴスシャードが発見されました。"
"8","TEXT_CTSERKEUREKA4STORYGEROLT_00548_DRAKE_130_013","発見された新種のロゴスシャードを組み合わせれば、<hex:02100103>これまでになかった記憶を、抽出できるかもしれません。<hex:02100103>入手できたなら、試してみてください。"
"9","TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_014","……テメェの探索も、これで最後だってな。<hex:02100103>ここまで俺が手を貸してやってンだ。<hex:02100103>きっちり成功させやがれ！"
"10","TEXT_CTSERKEUREKA4STORYGEROLT_00548_DRAKE_100_014","僕も応援しています。<hex:02100103>頑張ってください！"
"11","TEXT_CTSERKEUREKA4STORYGEROLT_00548_GEROLT_000_015","よし、話してぇことは全部話した。<hex:02100103>あとは、武器の強化に興味がなければ、<hex:02100103>「クルル」の嬢ちゃんのところへ戻りな。"
"12","TEXT_CTSERKEUREKA4STORYGEROLT_00548_SYSTEM_100_015","記録された「ロゴスアクション」が56種類以上のとき、<hex:02100103>「セントラルポイント」にいる「ドレイク」に話しかけると、<hex:02100103>新たなアイテムの交換が開放されます。"
"13","TEXT_CTSERKEUREKA4STORYGEROLT_00548_SYSTEM_150_015","なお、この新たなアイテムの交換を開放するには、<hex:02100103>「ノースポイント」にいる「調査隊の職人」の、<hex:02100103>エレメンタル防具の交換が開放されている必要があります。"
"14","TEXT_CTSERKEUREKA4STORYGEROLT_00548_TALK_ACTOR","（★未使用／削除予定★）"
