"0","TEXT_DUNGEONDEEPDUNGEON_00000_EDDA_000_000","また…… 誰かが やってきたのね……"
"1","TEXT_DUNGEONDEEPDUNGEON_00000_EDDA_000_100","あなたを 排除…… しなきゃ……<hex:02100103>ねえ そうでしょう…… アヴィール……"
"2","TEXT_DUNGEONDEEPDUNGEON_00000_EDDA_000_200","あ お久しぶりです……<hex:02100103>私 冒険者として がんばってますよ……"
"3","TEXT_DUNGEONDEEPDUNGEON_00000_EDDA_000_210","死んでいった…… アヴィールの ためにも……"
"4","TEXT_DUNGEONDEEPDUNGEON_00000_EDDA_000_220","あれ…… でも どうして 私 こんな場所に……？<hex:02100103>あのとき 落ちて から…… そのあと 魔術師が……"
"5","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_500","死からの復活…… この世界でも 難題のようですねぇ……<hex:02100103>ゾンビパウダーでは 肉体を ゾンビー化するだけですし……"
"6","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_510","レイズは 戦闘不能状態の者を 蘇生するだけで<hex:02100103>魂を 呼び戻すわけではありませンからねぇ……"
"7","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_600","この世界で 大事を成すには やはり エーテルが 要ですか<hex:02100103>「想い」に作用し 肉体の再構築すら実現する 素晴らしい力……"
"8","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_610","フフフ…… 闇のクリスタルに依りて 消滅を免れた先で<hex:02100103>彼女のような 素晴らしい研究材料が見つかったのは 僥倖でした"
"9","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_700","しかし それだけに 彼女を失ったのは 惜しかったですねぇ……"
"10","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_710","永遠の命…… 逃れられぬはずの死からの復活……<hex:02100103>彼女の持つ 強き想いこそが 真理を開く鍵に なり得たのですが"
"11","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_800","奴が…… 彼女の純粋な想いを くだらぬ道徳心で濁らせた<hex:02100103>安らかな眠りなど…… 真理から 目を背ける行為"
"12","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_810","死への冒涜 安息の眠りこそ救い…… 反吐が出そうな理屈です<hex:02100103>彼女の願いは 死を越えた先にしか 成しえないというのに！"
"13","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_900","おやおや これはこれは……<hex:02100103>ついに ここまでたどり着くとは あなたもたいしたものですねぇ"
"14","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_910","私は ニバス・オブデロード…… この地下迷宮の創造者……<hex:02100103>不老不死の秘術を求め 研究を行っております……"
"15","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_920","お節介な正義感で 私のことを 潰そうというのでしょうが……<hex:02100103>私の研究を…… 悲願を…… 誰にも邪魔はさせませンよ！"
"16","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_950","おお…… おお…………<hex:02100103>愚か者がここにも…… 我が悲願を 何故 理解できぬ……"
"17","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_960","魂を救い 自我を持ち 現世へと蘇りし秘術……<hex:02100103>それこそが 世に人が生まれしときより すべての民が願いしもの"
"18","TEXT_DUNGEONDEEPDUNGEON_00000_NYBETHOBDILORD_000_970","貴様らは それを 「愛」と呼ぶのではないか……"
