"0","TEXT_GAIUSE214_01358_SEQ_00","キャンプ・スカルバレーのファルクブリダ中甲佐は、心配事があるようだ。"
"1","TEXT_GAIUSE214_01358_SEQ_01","帰還しない偵察隊の消息確認を依頼された。西ラノシアにある「サプサ産卵地」手前で偵察隊を探し、負傷者を見つけた場合は、「<hex:022811FF0A4576656E744974656DF61E893E0103>」を使用して応急手当をしよう。"
"2","TEXT_GAIUSE214_01358_SEQ_02","潜入調査に出ていた黒渦団隊士1名を救助した。ほかの隊士は、「海蛇の舌」によって連れ去られたという。西ラノシアの「海蛇の巣穴」にて、さらわれた隊士を探そう。もしも「海蛇の舌」の襲撃を受けた場合は、これを討伐しよう。"
"3","TEXT_GAIUSE214_01358_SEQ_03","襲ってきた「海蛇の舌」を討伐した。海蛇の巣穴にある2名の「兵士の死体」を回収しよう。"
"4","TEXT_GAIUSE214_01358_SEQ_04","<hex:022811FF0A4576656E744974656DF61E893F0103>を回収した。キャンプ・スカルバレーの「ファルクブリダ中甲佐」に結果を報告し、「<hex:022811FF0A4576656E744974656DF61E893F0103>」を引き渡そう。"
"5","TEXT_GAIUSE214_01358_SEQ_05","兵士の死を知ったファルクブリダ中甲佐は、サハギン族に対する怒りをあらわにした。一方、生還者の報告を受け、メルウィブは蛮神「リヴァイアサン」召喚阻止作戦の策定に入った。"
"6","TEXT_GAIUSE214_01358_SEQ_06",""
"7","TEXT_GAIUSE214_01358_SEQ_07",""
"8","TEXT_GAIUSE214_01358_SEQ_08",""
"9","TEXT_GAIUSE214_01358_SEQ_09",""
"10","TEXT_GAIUSE214_01358_SEQ_10",""
"11","TEXT_GAIUSE214_01358_SEQ_11",""
"12","TEXT_GAIUSE214_01358_SEQ_12",""
"13","TEXT_GAIUSE214_01358_SEQ_13",""
"14","TEXT_GAIUSE214_01358_SEQ_14",""
"15","TEXT_GAIUSE214_01358_SEQ_15",""
"16","TEXT_GAIUSE214_01358_SEQ_16",""
"17","TEXT_GAIUSE214_01358_SEQ_17",""
"18","TEXT_GAIUSE214_01358_SEQ_18",""
"19","TEXT_GAIUSE214_01358_SEQ_19",""
"20","TEXT_GAIUSE214_01358_SEQ_20",""
"21","TEXT_GAIUSE214_01358_SEQ_21",""
"22","TEXT_GAIUSE214_01358_SEQ_22",""
"23","TEXT_GAIUSE214_01358_SEQ_23",""
"24","TEXT_GAIUSE214_01358_TODO_00","サプサ産卵地手前で偵察隊を探し負傷者に<hex:022811FF0A4576656E744974656DF61E893E0103>を使う"
"25","TEXT_GAIUSE214_01358_TODO_01","海蛇の巣穴で偵察隊を探して現れた海蛇の舌を討伐"
"26","TEXT_GAIUSE214_01358_TODO_02","兵士の死体を回収する"
"27","TEXT_GAIUSE214_01358_TODO_03","ファルクブリダ中甲佐に<hex:022811FF0A4576656E744974656DF61E893F0103>を渡す"
"28","TEXT_GAIUSE214_01358_TODO_04",""
"29","TEXT_GAIUSE214_01358_TODO_05",""
"30","TEXT_GAIUSE214_01358_TODO_06",""
"31","TEXT_GAIUSE214_01358_TODO_07",""
"32","TEXT_GAIUSE214_01358_TODO_08",""
"33","TEXT_GAIUSE214_01358_TODO_09",""
"34","TEXT_GAIUSE214_01358_TODO_10",""
"35","TEXT_GAIUSE214_01358_TODO_11",""
"36","TEXT_GAIUSE214_01358_TODO_12",""
"37","TEXT_GAIUSE214_01358_TODO_13",""
"38","TEXT_GAIUSE214_01358_TODO_14",""
"39","TEXT_GAIUSE214_01358_TODO_15",""
"40","TEXT_GAIUSE214_01358_TODO_16",""
"41","TEXT_GAIUSE214_01358_TODO_17",""
"42","TEXT_GAIUSE214_01358_TODO_18",""
"43","TEXT_GAIUSE214_01358_TODO_19",""
"44","TEXT_GAIUSE214_01358_TODO_20",""
"45","TEXT_GAIUSE214_01358_TODO_21",""
"46","TEXT_GAIUSE214_01358_TODO_22",""
"47","TEXT_GAIUSE214_01358_TODO_23",""
"48","TEXT_GAIUSE214_01358_SYSTEM_100_000","受注するには、進行中のメインクエストを破棄する必要があります。<hex:02100103>メインコマンドの「コンテンツ情報」から、<hex:02100103>「ジャーナル」を選び、破棄してください。"
"49","TEXT_GAIUSE214_01358_FALKBRYDA_100_001","すぐにでも総攻撃と行きたいところだが、相手は蛮神だ。<hex:02100103>サプサ産卵地に潜入させた偵察隊の帰りを待って、<hex:02100103>その情報を元に作戦を立てたい。"
"50","TEXT_GAIUSE214_01358_FALKBRYDA_100_002","かつて成された、蛮神「リヴァイアサン」討伐は、<hex:02100103>傭兵団「海雄旅団」によるもの……。"
"51","TEXT_GAIUSE214_01358_FALKBRYDA_100_003","恥ずかしながら、我ら黒渦団が、<hex:02100103>「リヴァイアサン」に対するのは初めてなのだ……。<hex:02100103>ゆえに情報収集は、確実に行っておきたくてな。"
"52","TEXT_GAIUSE214_01358_FALKBRYDA_000_000","だが……どうにも遅すぎる……。<hex:02100103>偵察隊の帰還予定時刻は、とうに過ぎているのだが……<hex:02100103>まさか、サハギン族に気取られたか？"
"53","TEXT_GAIUSE214_01358_FALKBRYDA_000_001","彼らは重要な情報を握る身……<hex:02100103>早急に捜索隊を送らねばならぬだろう。<hex:02100103>すまないが、貴公も捜索に協力してもらえんか？"
"54","TEXT_GAIUSE214_01358_FALKBRYDA_000_002","「<hex:022811FF0A4576656E744974656DF61E893E0103>」を渡しておく。<hex:02100103>負傷者がいた場合は、応急手当をしてくれるとありがたい。<hex:02100103>偵察隊の兵は5名だ、頼んだぞ。"
"55","TEXT_GAIUSE214_01358_FALKBRYDA_000_003","ただし、深追いは厳禁。<hex:02100103>……もしも……死者が確認された場合は、<hex:02100103>遺体を回収の上、速やかに帰還してくれ。"
