"0","TEXT_STMBDZ209_02681_SEQ_00","筋違砦のアフミは、なにやら呆れているようだ。"
"1","TEXT_STMBDZ209_02681_SEQ_01",""
"2","TEXT_STMBDZ209_02681_SEQ_02",""
"3","TEXT_STMBDZ209_02681_SEQ_03",""
"4","TEXT_STMBDZ209_02681_SEQ_04",""
"5","TEXT_STMBDZ209_02681_SEQ_05",""
"6","TEXT_STMBDZ209_02681_SEQ_06",""
"7","TEXT_STMBDZ209_02681_SEQ_07",""
"8","TEXT_STMBDZ209_02681_SEQ_08",""
"9","TEXT_STMBDZ209_02681_SEQ_09",""
"10","TEXT_STMBDZ209_02681_SEQ_10",""
"11","TEXT_STMBDZ209_02681_SEQ_11",""
"12","TEXT_STMBDZ209_02681_SEQ_12",""
"13","TEXT_STMBDZ209_02681_SEQ_13",""
"14","TEXT_STMBDZ209_02681_SEQ_14",""
"15","TEXT_STMBDZ209_02681_SEQ_15",""
"16","TEXT_STMBDZ209_02681_SEQ_16",""
"17","TEXT_STMBDZ209_02681_SEQ_17",""
"18","TEXT_STMBDZ209_02681_SEQ_18",""
"19","TEXT_STMBDZ209_02681_SEQ_19",""
"20","TEXT_STMBDZ209_02681_SEQ_20",""
"21","TEXT_STMBDZ209_02681_SEQ_21",""
"22","TEXT_STMBDZ209_02681_SEQ_22",""
"23","TEXT_STMBDZ209_02681_SEQ_23",""
"24","TEXT_STMBDZ209_02681_TODO_00","アオクモと話す"
"25","TEXT_STMBDZ209_02681_TODO_01","船酔いの海賊に<hex:022811FF0A4576656E744974656DF61E8D6B0103>を渡す"
"26","TEXT_STMBDZ209_02681_TODO_02","アフミに報告"
"27","TEXT_STMBDZ209_02681_TODO_03",""
"28","TEXT_STMBDZ209_02681_TODO_04",""
"29","TEXT_STMBDZ209_02681_TODO_05",""
"30","TEXT_STMBDZ209_02681_TODO_06",""
"31","TEXT_STMBDZ209_02681_TODO_07",""
"32","TEXT_STMBDZ209_02681_TODO_08",""
"33","TEXT_STMBDZ209_02681_TODO_09",""
"34","TEXT_STMBDZ209_02681_TODO_10",""
"35","TEXT_STMBDZ209_02681_TODO_11",""
"36","TEXT_STMBDZ209_02681_TODO_12",""
"37","TEXT_STMBDZ209_02681_TODO_13",""
"38","TEXT_STMBDZ209_02681_TODO_14",""
"39","TEXT_STMBDZ209_02681_TODO_15",""
"40","TEXT_STMBDZ209_02681_TODO_16",""
"41","TEXT_STMBDZ209_02681_TODO_17",""
"42","TEXT_STMBDZ209_02681_TODO_18",""
"43","TEXT_STMBDZ209_02681_TODO_19",""
"44","TEXT_STMBDZ209_02681_TODO_20",""
"45","TEXT_STMBDZ209_02681_TODO_21",""
"46","TEXT_STMBDZ209_02681_TODO_22",""
"47","TEXT_STMBDZ209_02681_TODO_23",""
"48","TEXT_STMBDZ209_02681_AFUMI_000_000","少し船に乗っただけで、ぶっ倒れるなんて……。<hex:02100103>本当、だらしのない男だね。<hex:02100103>お頭に見られたら、はっ倒されちまうよ。"
"49","TEXT_STMBDZ209_02681_AFUMI_000_001","アンタ、見かけない顔だけど、新人かい？<hex:02100103>まあ、新人であろうと、なかろうと、<hex:02100103>このアフミさまの命令をお聞き。"
"50","TEXT_STMBDZ209_02681_AFUMI_000_002","まずは、下で一杯ひっかけている、<hex:02100103>「アオクモ」から「<hex:022811FF0A4576656E744974656DF61E8D6B0103>」を貰っておいで。"
"51","TEXT_STMBDZ209_02681_AFUMI_000_003","そして、早逃桟橋でのびてる「船酔いの海賊」に、<hex:02100103>薬を届けておやり。<hex:02100103>ほら、わかったんなら、さっさと頼むよ！"
"52","TEXT_STMBDZ209_02681_AFUMI_000_004","下にいる「アオクモ」から、「<hex:022811FF0A4576656E744974656DF61E8D6B0103>」を貰ってきな。<hex:02100103>早逃桟橋で、のびてる「船酔いの海賊」に、<hex:02100103>薬を届けておやり。"
"53","TEXT_STMBDZ209_02681_AOKUMO_000_010","ひっく……アフミ姐さんからの使いだって？<hex:02100103>ほら、どんな船酔いでも一発で治る、<hex:02100103>「<hex:022811FF0A4576656E744974656DF61E8D6B0103>」を持っていきな！"
"54","TEXT_STMBDZ209_02681_AOKUMO_000_011","それにしても、その丸薬を必要とする海賊衆がいるとはな。<hex:02100103>ふつう、海で生きる男というのは、<hex:02100103>酒に酔っても船酔いは、しないもんだぞ……ひっく。"
"55","TEXT_STMBDZ209_02681_AOKUMO_000_012","こんなところで道草食ってないで、<hex:02100103>アフミ姐さんの使いに戻りな……ひっく。"
"56","TEXT_STMBDZ209_02681_SEASICKNESSMAN2681_000_020","うー……。<hex:02100103>陸だっつーのに、海みたいにゆらゆらしてやがる……。"
"57","TEXT_STMBDZ209_02681_SEASICKNESSMAN2681_000_021","おっ、この丸薬は……。<hex:02100103>これに頼ると、仲間から小馬鹿にされるんだけど、<hex:02100103>今は頼らずにはいられねぇ……。"
"58","TEXT_STMBDZ209_02681_SEASICKNESSMAN2681_000_022","アンタ、わざわざ届けに来てくれて、ありがとな。<hex:02100103>アフミ姐さんに船酔いが落ち着き次第、<hex:02100103>仕事に戻るって伝えておいてくれ。"
"59","TEXT_STMBDZ209_02681_SEASICKNESSMAN2681_000_023","アフミ姐さんに船酔いが落ち着き次第、<hex:02100103>仕事に戻るって伝えておいてくれ。"
"60","TEXT_STMBDZ209_02681_AFUMI_000_030","丸薬を届けてくれて、ありがとよ。<hex:02100103>あの馬鹿は、ドマの山村育ちでね……。<hex:02100103>反乱の際にうちへ逃げ込んできたものの、海に慣れないんだ。"
"61","TEXT_STMBDZ209_02681_AFUMI_000_031","加えて、緊張と悪夢で、ろくに寝れないまま船に乗るから、<hex:02100103>ますます船酔いしちまうのさ。"
"62","TEXT_STMBDZ209_02681_AFUMI_100_031","哀れだが、ここじゃそういう経歴の持ち主は珍しくもない……。<hex:02100103>お頭のラショウさんだって、ドマのうまれだよ。<hex:02100103>25年前、帝国に親兄弟を殺されて、海賊衆に来たんだとさ。"
"63","TEXT_STMBDZ209_02681_AFUMI_000_033","……そういえば、アンタは海賊衆じゃないんだってね？<hex:02100103>違うなら、そう言やいいのに、<hex:02100103>律儀に使いをこなすなんて、いい奴じゃないか。"
"64","TEXT_STMBDZ209_02681_AFUMI_000_034","いっそ、本当に海賊衆に入っちまったらどうだい？<hex:02100103>私が、一人前の海賊に育ててやるよ！"
