"0","TEXT_LUCKZA013_03355_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊ルール： レベルアジャスト<hex:0249020103><hex:0248020103><hex:02100103>ゲートタウンの歌姫を目指す少女は、歌の練習がしたいようだ。"
"1","TEXT_LUCKZA013_03355_SEQ_01",""
"2","TEXT_LUCKZA013_03355_SEQ_02",""
"3","TEXT_LUCKZA013_03355_SEQ_03",""
"4","TEXT_LUCKZA013_03355_SEQ_04",""
"5","TEXT_LUCKZA013_03355_SEQ_05",""
"6","TEXT_LUCKZA013_03355_SEQ_06",""
"7","TEXT_LUCKZA013_03355_SEQ_07",""
"8","TEXT_LUCKZA013_03355_SEQ_08",""
"9","TEXT_LUCKZA013_03355_SEQ_09",""
"10","TEXT_LUCKZA013_03355_SEQ_10",""
"11","TEXT_LUCKZA013_03355_SEQ_11",""
"12","TEXT_LUCKZA013_03355_SEQ_12",""
"13","TEXT_LUCKZA013_03355_SEQ_13",""
"14","TEXT_LUCKZA013_03355_SEQ_14",""
"15","TEXT_LUCKZA013_03355_SEQ_15",""
"16","TEXT_LUCKZA013_03355_SEQ_16",""
"17","TEXT_LUCKZA013_03355_SEQ_17",""
"18","TEXT_LUCKZA013_03355_SEQ_18",""
"19","TEXT_LUCKZA013_03355_SEQ_19",""
"20","TEXT_LUCKZA013_03355_SEQ_20",""
"21","TEXT_LUCKZA013_03355_SEQ_21",""
"22","TEXT_LUCKZA013_03355_SEQ_22",""
"23","TEXT_LUCKZA013_03355_SEQ_23",""
"24","TEXT_LUCKZA013_03355_TODO_00","クレイヴ灯台付近の歌姫を目指す少女と話す"
"25","TEXT_LUCKZA013_03355_TODO_01","クレイヴ灯台付近で見張り、敵が現れたら討伐"
"26","TEXT_LUCKZA013_03355_TODO_02","歌姫を目指す少女と話す"
"27","TEXT_LUCKZA013_03355_TODO_03","ゲートタウンの歌姫を目指す少女と話す"
"28","TEXT_LUCKZA013_03355_TODO_04",""
"29","TEXT_LUCKZA013_03355_TODO_05",""
"30","TEXT_LUCKZA013_03355_TODO_06",""
"31","TEXT_LUCKZA013_03355_TODO_07",""
"32","TEXT_LUCKZA013_03355_TODO_08",""
"33","TEXT_LUCKZA013_03355_TODO_09",""
"34","TEXT_LUCKZA013_03355_TODO_10",""
"35","TEXT_LUCKZA013_03355_TODO_11",""
"36","TEXT_LUCKZA013_03355_TODO_12",""
"37","TEXT_LUCKZA013_03355_TODO_13",""
"38","TEXT_LUCKZA013_03355_TODO_14",""
"39","TEXT_LUCKZA013_03355_TODO_15",""
"40","TEXT_LUCKZA013_03355_TODO_16",""
"41","TEXT_LUCKZA013_03355_TODO_17",""
"42","TEXT_LUCKZA013_03355_TODO_18",""
"43","TEXT_LUCKZA013_03355_TODO_19",""
"44","TEXT_LUCKZA013_03355_TODO_20",""
"45","TEXT_LUCKZA013_03355_TODO_21",""
"46","TEXT_LUCKZA013_03355_TODO_22",""
"47","TEXT_LUCKZA013_03355_TODO_23",""
"48","TEXT_LUCKZA013_03355_DIVA03355_000_000","あ～ら、もしかして私の美声を聞きに来たのかしら？"
"49","TEXT_LUCKZA013_03355_DIVA03355_000_001","あ、違いますか……。<hex:02100103>はい……そうですよね……はぁ。"
"50","TEXT_LUCKZA013_03355_DIVA03355_000_002","う～～！<hex:02100103>もっと思いっきり、歌の練習がしたいよぉ！"
"51","TEXT_LUCKZA013_03355_DIVA03355_000_003","ねぇ、私ってユールモア……いえ、<hex:02100103>ノルヴラントの歌姫になる女なんだけど、<hex:02100103>練習する場所がなくて、困ってるのよ。"
"52","TEXT_LUCKZA013_03355_DIVA03355_000_004","ここで少しでも大声で歌おうものなら、<hex:02100103>迷惑だからやめろって、みんな異常に怒り出すの！<hex:02100103>だから、もうだれも近寄らない海岸まで行ってるんだ。"
"53","TEXT_LUCKZA013_03355_DIVA03355_000_005","でもね、そこで歌を歌うと、今度は魔物まで怒り狂ってきて、<hex:02100103>練習もそこそこに、逃げるしかないのよ。<hex:02100103>はぁ～、困った！"
"54","TEXT_LUCKZA013_03355_DIVA03355_000_006","ねぇねぇ、あなた旅人よね？<hex:02100103>私がきちんと練習の時間を取れるように、<hex:02100103>ちょっと付き合ってくれない？"
"55","TEXT_LUCKZA013_03355_DIVA03355_000_007","ねっ、お願い！"
"56","TEXT_LUCKZA013_03355_DIVA03355_000_011","この岩場で歌うと、<hex:02100103>海の向こうまで届く気がして気持ちがいいのよ。"
"57","TEXT_LUCKZA013_03355_DIVA03355_000_012","じゃ、あなたはこの辺りで、<hex:02100103>私の美声に釣られて魔物が来ないか、「見張り」をしてね！"
"58","TEXT_LUCKZA013_03355_SYSTEM_000_013","波の音にかき消されて、歌声がよく聞こえない……！"
"59","TEXT_LUCKZA013_03355_DIVA03355_000_020","はぁ～～～！<hex:02100103>すっきりしたー！<hex:02100103>こんなにのびのびと歌えたの、久しぶりだわ！"
"60","TEXT_LUCKZA013_03355_DIVA03355_000_021","うふふ、あなたのおかげよ♪<hex:02100103>戻ったら、きちんとお礼を言わなきゃね！<hex:02100103>さぁ、「ゲートタウン」に戻りましょ！"
"61","TEXT_LUCKZA013_03355_DIVA03355_000_030","さっきはありがとう！<hex:02100103>助かっちゃった！"
"62","TEXT_LUCKZA013_03355_DIVA03355_000_031","今はまだ、こんなところでくすぶっているけど、<hex:02100103>いずれはユールモアの有名なキャバレーで、<hex:02100103>富豪どもを骨抜きにして、のし上がってやるんだからっ！"
"63","TEXT_LUCKZA013_03355_DIVA03355_000_032","……ということで、私が有名人になるまで、<hex:02100103>今回のお礼はツケておいてね！<hex:02100103>今の私にはこれが精いっぱい……ありがと、旅人さん♪"
