"0","TEXT_LUCKSA251_04038_SEQ_00","<hex:024804F201F603><hex:024904F201F703>特殊ルール： クラス・ジョブ固定<hex:0249020103><hex:0248020103><hex:02100103>ガンゴッシュのズラタンは、今一度「記憶の一塊」を集めてきてほしいようだ。"
"1","TEXT_LUCKSA251_04038_SEQ_01","※本クエストには「<hex:024804F201F603><hex:024904F201F703><hex:0249020103><hex:0248020103> クラス・ジョブ固定」が、<hex:02100103>　設定されています。<hex:02100103>　受注時と同じクラス・ジョブでのみ進行できます。<hex:02100103><hex:02100103>大規模戦闘によって「記憶の一塊」を集めてくることになった。「<hex:02280BFF054974656DF280BC0103>」を15個集めて、「レジスタンス・ウェポン」を所持した状態で、ガンゴッシュの「ズラタン」に渡そう。<hex:02100103><hex:02100103>※「<hex:02280BFF054974656DF280BC0103>」は、「南方ボズヤ戦線」でのクリティカルエンゲージメント、および、アライアンスレイド「クリスタルタワー」関連のコンテンツを攻略することで獲得できます。"
"2","TEXT_LUCKSA251_04038_SEQ_02","ズラタンに「<hex:02280BFF054974656DF280BC0103>」を渡して、ゲロルトに武器の改良を施してもらった。次の改良を行えれば、冒険者に合わせた調整が行えるようになるらしい。"
"3","TEXT_LUCKSA251_04038_SEQ_03",""
"4","TEXT_LUCKSA251_04038_SEQ_04",""
"5","TEXT_LUCKSA251_04038_SEQ_05",""
"6","TEXT_LUCKSA251_04038_SEQ_06",""
"7","TEXT_LUCKSA251_04038_SEQ_07",""
"8","TEXT_LUCKSA251_04038_SEQ_08",""
"9","TEXT_LUCKSA251_04038_SEQ_09",""
"10","TEXT_LUCKSA251_04038_SEQ_10",""
"11","TEXT_LUCKSA251_04038_SEQ_11",""
"12","TEXT_LUCKSA251_04038_SEQ_12",""
"13","TEXT_LUCKSA251_04038_SEQ_13",""
"14","TEXT_LUCKSA251_04038_SEQ_14",""
"15","TEXT_LUCKSA251_04038_SEQ_15",""
"16","TEXT_LUCKSA251_04038_SEQ_16",""
"17","TEXT_LUCKSA251_04038_SEQ_17",""
"18","TEXT_LUCKSA251_04038_SEQ_18",""
"19","TEXT_LUCKSA251_04038_SEQ_19",""
"20","TEXT_LUCKSA251_04038_SEQ_20",""
"21","TEXT_LUCKSA251_04038_SEQ_21",""
"22","TEXT_LUCKSA251_04038_SEQ_22",""
"23","TEXT_LUCKSA251_04038_SEQ_23",""
"24","TEXT_LUCKSA251_04038_TODO_00","<hex:0208F20271E3E802E803FF1802280BFF054974656DF280BC0103E38292E585A5E6898BFFF2024F0208F201E6E4E80514FF2002280BFF054974656DF278410103E381A802280BFF054974656DF278520103FFF201BD0208F201B7E4E80515FF0F02280BFF054974656DF278420103FFF2019F0208F20199E4E80516FF0F02280BFF054974656DF278430103FFF201810208F2017BE4E80517FF0F02280BFF054974656DF278440103FFF201630208F2015DE4E80518FF0F02280BFF054974656DF278450103FFF201450208F2013FE4E80519FF0F02280BFF054974656DF278490103FFF201270208F20121E4E8051AFF0F02280BFF054974656DF2784A0103FFF201090208F20103E4E8051CFF0F02280BFF054974656DF2784B0103FFF0EC0208F0E7E4E8051DFF0F02280BFF054974656DF2784C0103FFF0D00208CDE4E8051FFF0F02280BFF054974656DF278460103FFB70208B3E4E80520FF0F02280BFF054974656DF278480103FF9D020899E4E80521FF0F02280BFF054974656DF278470103FF8302087FE4E80522FF0F02280BFF054974656DF2784D0103FF69020865E4E80523FF0F02280BFF054974656DF2784E0103FF4F02084BE4E80524FF0F02280BFF054974656DF2784F0103FF35020831E4E80526FF0F02280BFF054974656DF278500103FF1B020817E4E80527FF0F02280BFF054974656DF278510103FF010303030303030303030303030303030303E38292E8A385E58299E3818BE38289E5A496E38197E381A6E38081E68980E68C81E3819702100103E382ACE383B3E382B4E38383E382B7E383A5E381AEE382BAE383A9E382BFE383B3E381AB02280BFF054974656DF280BC0103E38292E6B8A1E38199>"
"25","TEXT_LUCKSA251_04038_TODO_01",""
"26","TEXT_LUCKSA251_04038_TODO_02",""
"27","TEXT_LUCKSA251_04038_TODO_03",""
"28","TEXT_LUCKSA251_04038_TODO_04",""
"29","TEXT_LUCKSA251_04038_TODO_05",""
"30","TEXT_LUCKSA251_04038_TODO_06",""
"31","TEXT_LUCKSA251_04038_TODO_07",""
"32","TEXT_LUCKSA251_04038_TODO_08",""
"33","TEXT_LUCKSA251_04038_TODO_09",""
"34","TEXT_LUCKSA251_04038_TODO_10",""
"35","TEXT_LUCKSA251_04038_TODO_11",""
"36","TEXT_LUCKSA251_04038_TODO_12",""
"37","TEXT_LUCKSA251_04038_TODO_13",""
"38","TEXT_LUCKSA251_04038_TODO_14",""
"39","TEXT_LUCKSA251_04038_TODO_15",""
"40","TEXT_LUCKSA251_04038_TODO_16",""
"41","TEXT_LUCKSA251_04038_TODO_17",""
"42","TEXT_LUCKSA251_04038_TODO_18",""
"43","TEXT_LUCKSA251_04038_TODO_19",""
