"0","TEXT_AKTKZC005_04214_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊ルール： レベルアジャスト<hex:0249020103><hex:0248020103><hex:02100103>シャーレアン魔法大学のララフェル族の魔法大学生はなにやら意気込んでいるようだ。"
"1","TEXT_AKTKZC005_04214_SEQ_01",""
"2","TEXT_AKTKZC005_04214_SEQ_02",""
"3","TEXT_AKTKZC005_04214_SEQ_03",""
"4","TEXT_AKTKZC005_04214_SEQ_04",""
"5","TEXT_AKTKZC005_04214_SEQ_05",""
"6","TEXT_AKTKZC005_04214_SEQ_06",""
"7","TEXT_AKTKZC005_04214_SEQ_07",""
"8","TEXT_AKTKZC005_04214_SEQ_08",""
"9","TEXT_AKTKZC005_04214_SEQ_09",""
"10","TEXT_AKTKZC005_04214_SEQ_10",""
"11","TEXT_AKTKZC005_04214_SEQ_11",""
"12","TEXT_AKTKZC005_04214_SEQ_12",""
"13","TEXT_AKTKZC005_04214_SEQ_13",""
"14","TEXT_AKTKZC005_04214_SEQ_14",""
"15","TEXT_AKTKZC005_04214_SEQ_15",""
"16","TEXT_AKTKZC005_04214_SEQ_16",""
"17","TEXT_AKTKZC005_04214_SEQ_17",""
"18","TEXT_AKTKZC005_04214_SEQ_18",""
"19","TEXT_AKTKZC005_04214_SEQ_19",""
"20","TEXT_AKTKZC005_04214_SEQ_20",""
"21","TEXT_AKTKZC005_04214_SEQ_21",""
"22","TEXT_AKTKZC005_04214_SEQ_22",""
"23","TEXT_AKTKZC005_04214_SEQ_23",""
"24","TEXT_AKTKZC005_04214_TODO_00","ララフェル族の魔法大学生と話す"
"25","TEXT_AKTKZC005_04214_TODO_01","衣替状態で<hex:02100103><hex:02280CFF05454F626AF61EB5120103>で「戦いに備える」をする"
"26","TEXT_AKTKZC005_04214_TODO_02","衣替状態で<hex:02280CFF05454F626AF61EB5150103>を持ち上げる"
"27","TEXT_AKTKZC005_04214_TODO_03","衣替状態で<hex:02280CFF05454F626AF61EB5150103>を<hex:02100103>ケケモに渡す"
"28","TEXT_AKTKZC005_04214_TODO_04","ララフェル族の魔法大学生と話す"
"29","TEXT_AKTKZC005_04214_TODO_05","ララフェル族の魔法大学生と再度話す"
"30","TEXT_AKTKZC005_04214_TODO_06",""
"31","TEXT_AKTKZC005_04214_TODO_07",""
"32","TEXT_AKTKZC005_04214_TODO_08",""
"33","TEXT_AKTKZC005_04214_TODO_09",""
"34","TEXT_AKTKZC005_04214_TODO_10",""
"35","TEXT_AKTKZC005_04214_TODO_11",""
"36","TEXT_AKTKZC005_04214_TODO_12",""
"37","TEXT_AKTKZC005_04214_TODO_13",""
"38","TEXT_AKTKZC005_04214_TODO_14",""
"39","TEXT_AKTKZC005_04214_TODO_15",""
"40","TEXT_AKTKZC005_04214_TODO_16",""
"41","TEXT_AKTKZC005_04214_TODO_17",""
"42","TEXT_AKTKZC005_04214_TODO_18",""
"43","TEXT_AKTKZC005_04214_TODO_19",""
"44","TEXT_AKTKZC005_04214_TODO_20",""
"45","TEXT_AKTKZC005_04214_TODO_21",""
"46","TEXT_AKTKZC005_04214_TODO_22",""
"47","TEXT_AKTKZC005_04214_TODO_23",""
