"0","TEXT_AKTKZK001_04354_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊ルール： レベルアジャスト<hex:0249020103><hex:0248020103><hex:02100103>オミクロンベースのN-4486は、模擬戦の相手を求めているようだ。"
"1","TEXT_AKTKZK001_04354_SEQ_01","※本クエストには「<hex:024804F201FC03><hex:024904F201FD03><hex:0249020103><hex:0248020103> レベルアジャスト」が、<hex:02100103>　設定されています。<hex:02100103><hex:02100103>アグレッサーとの模擬戦に協力してほしいと要請された。オミクロンベースの東へと向かい、待ち構えている<hex:02280FFF09424E70634E616D65F22B090103>を弱らせて、「<hex:022811FF0A4576656E744974656DF61E91490103>」を使おう。"
"2","TEXT_AKTKZK001_04354_SEQ_02","拘束した<hex:02280FFF09424E70634E616D65F22B090103>から、レベルチェッカーを回収した。オミクロンベースの「N-4486」に「<hex:022811FF0A4576656E744974656DF61E914A0103>」を渡そう。"
"3","TEXT_AKTKZK001_04354_SEQ_03","渡したレベルチェッカーから回収したメモリーチップにより、模擬戦の内容が引き継がれた。彼らはこうして、規格を共有した機体に、他機体のメモリーをインストールさせることで、戦闘データを蓄積させていっているのだという。"
"4","TEXT_AKTKZK001_04354_SEQ_04",""
"5","TEXT_AKTKZK001_04354_SEQ_05",""
"6","TEXT_AKTKZK001_04354_SEQ_06",""
"7","TEXT_AKTKZK001_04354_SEQ_07",""
"8","TEXT_AKTKZK001_04354_SEQ_08",""
"9","TEXT_AKTKZK001_04354_SEQ_09",""
"10","TEXT_AKTKZK001_04354_SEQ_10",""
"11","TEXT_AKTKZK001_04354_SEQ_11",""
"12","TEXT_AKTKZK001_04354_SEQ_12",""
"13","TEXT_AKTKZK001_04354_SEQ_13",""
"14","TEXT_AKTKZK001_04354_SEQ_14",""
"15","TEXT_AKTKZK001_04354_SEQ_15",""
"16","TEXT_AKTKZK001_04354_SEQ_16",""
"17","TEXT_AKTKZK001_04354_SEQ_17",""
"18","TEXT_AKTKZK001_04354_SEQ_18",""
"19","TEXT_AKTKZK001_04354_SEQ_19",""
"20","TEXT_AKTKZK001_04354_SEQ_20",""
"21","TEXT_AKTKZK001_04354_SEQ_21",""
"22","TEXT_AKTKZK001_04354_SEQ_22",""
"23","TEXT_AKTKZK001_04354_SEQ_23",""
"24","TEXT_AKTKZK001_04354_TODO_00","弱らせた<hex:02280FFF09424E70634E616D65F22B090103>に<hex:022811FF0A4576656E744974656DF61E91490103>を使う"
"25","TEXT_AKTKZK001_04354_TODO_01","N-4486に<hex:022811FF0A4576656E744974656DF61E914A0103>を渡す"
"26","TEXT_AKTKZK001_04354_TODO_02",""
"27","TEXT_AKTKZK001_04354_TODO_03",""
"28","TEXT_AKTKZK001_04354_TODO_04",""
"29","TEXT_AKTKZK001_04354_TODO_05",""
"30","TEXT_AKTKZK001_04354_TODO_06",""
"31","TEXT_AKTKZK001_04354_TODO_07",""
"32","TEXT_AKTKZK001_04354_TODO_08",""
"33","TEXT_AKTKZK001_04354_TODO_09",""
"34","TEXT_AKTKZK001_04354_TODO_10",""
"35","TEXT_AKTKZK001_04354_TODO_11",""
"36","TEXT_AKTKZK001_04354_TODO_12",""
