"0","TEXT_CTSOPN60WANDERINGMINSTREL_00728_CFC_TO_INSTANCE_CONTENT","<hex:02281CFF17436F6E74656E7446696E646572436F6E646974696F6EE8020403>"
"1","TEXT_CTSOPN60WANDERINGMINSTREL_00728_MINSTREL_GREETING_000","喲，你來了啊。<hex:02100103>這次要講述怎樣的冒險故事呢？<hex:02100103>身為一名創作者，我很期待。"
"2","TEXT_CTSOPN60WANDERINGMINSTREL_00728_Q1_000_001","要講述哪個故事？"
"3","TEXT_CTSOPN60WANDERINGMINSTREL_00728_MINSTREL_MENU_CANCEL","放棄"
"4","TEXT_CTSOPN60WANDERINGMINSTREL_00728_MINSTREL_NOSELECT_000","哎呀，要走了嗎？<hex:02100103>畢竟你也很忙，雖然很可惜，不過沒辦法。<hex:02100103>等你有空了再來跟我講述你的冒險故事吧。"
"5","TEXT_CTSOPN60WANDERINGMINSTREL_00728_MINSTREL_NOCONTENT_000","哎呀……現在沒有能講述的冒險故事啊。<hex:02100103>根據你的冒險故事創作的詩歌在這個知識之都也極具人氣。<hex:02100103>就當是為了等待新作的聽眾們，如果結束了新的冒險就請幫個忙吧。"
"6","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_000","那麼這次要講述怎樣的冒險故事呢？"
"7","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_001","與最古老最強大的蠻神佐迪亞克決戰……<hex:02100103>哎呀，你的冒險經歷真是超乎我的想像啊。<hex:02100103>沒想到在月球上發生過那樣的戰鬥。"
"8","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_002","原本以為打倒了那個暗之神，<hex:02100103>在千鈞一髮之際拯救了世界……<hex:02100103>沒想到他選擇了自我消亡，引發了真正的「末日」嗎……"
"9","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_003","好，聽了你的故事之後，我有了靈感。<hex:02100103>你願意聽一下嗎？"
"10","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_004","「古人創造之神明，掙脫月球之幽囹，<hex:02100103>然心中所願已無法實現，世界末日再無法緩延。」"
"11","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_005","「今人擁立之英雄，身負大地之威榮，<hex:02100103>故拯救世界乃心中所願，面對神明仍堅決挑戰。」"
"12","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_006","話說回來那可是佐迪亞克啊……<hex:02100103>雖說是為了拯救世界，但為了編織新的行星之理，<hex:02100103>居然需要半數的人類來賭上性命創造神明。"
"13","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_007","古代人的堅定信念真的震撼到我了。<hex:02100103>而明知這份信念卻依然選擇將其踐踏，<hex:02100103>法丹尼爾這個男人的絕望之深更是可怕……"
"14","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_008","不……只靠想像去描述這份心境，<hex:02100103>未免太過自以為是了。<hex:02100103>真相只有你才瞭解。"
"15","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_009","總之現在唯有懷揣著對古人的悼念，<hex:02100103>將他們的思緒編織進詩歌中，<hex:02100103>這也是他們曾經活在這個世上的證據……"
"16","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_010","好期待啊……<hex:02100103>接下來會是怎樣的冒險故事呢？"
"17","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_011","為了拯救世界避免末日的降臨，<hex:02100103>而接受了海德林的試煉啊。<hex:02100103>真不愧是英雄，冒險的等級遠超我的想像。"
"18","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_012","不光是冒險等級，就連等待你的歲月也是。<hex:02100103>一個名叫維涅斯的人意志堅定，<hex:02100103>為了你不惜等待了上萬年……"
"19","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_013","嗯……我想到了一首好詩。<hex:02100103>你願意立刻聽一下嗎？"
"20","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_014","「歷經漫漫長路，今來之人與古往之人邂逅，<hex:02100103>為拯救世界，其寄希望於內心，邁向天宇之盡頭。」"
"21","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_015","「歷經漫漫長路，古往之人與今來之人再會，<hex:02100103>為拯救世界，其寄靈魂於神明，逝於星海之輪迴。」"
"22","TEXT_CTSOPN60WANDERINGMINSTREL_00728_WANDERINGMINSTREL_000_016","面對著決心對抗末日的你們，<hex:02100103>海德林詢問了你們向天界邊際挑戰的覺悟，<hex:02100103>並阻擋在前成為了你們的試煉。"
