"0","TEXT_AKTKMB109_04388_SEQ_00","第四市外站的尤盧斯正在警戒著周圍的情況。"
"1","TEXT_AKTKMB109_04388_SEQ_01",""
"2","TEXT_AKTKMB109_04388_SEQ_02",""
"3","TEXT_AKTKMB109_04388_SEQ_03",""
"4","TEXT_AKTKMB109_04388_SEQ_04",""
"5","TEXT_AKTKMB109_04388_SEQ_05",""
"6","TEXT_AKTKMB109_04388_SEQ_06",""
"7","TEXT_AKTKMB109_04388_SEQ_07",""
"8","TEXT_AKTKMB109_04388_SEQ_08",""
"9","TEXT_AKTKMB109_04388_SEQ_09",""
"10","TEXT_AKTKMB109_04388_SEQ_10",""
"11","TEXT_AKTKMB109_04388_SEQ_11",""
"12","TEXT_AKTKMB109_04388_SEQ_12",""
"13","TEXT_AKTKMB109_04388_SEQ_13",""
"14","TEXT_AKTKMB109_04388_SEQ_14",""
"15","TEXT_AKTKMB109_04388_SEQ_15",""
"16","TEXT_AKTKMB109_04388_SEQ_16",""
"17","TEXT_AKTKMB109_04388_SEQ_17",""
"18","TEXT_AKTKMB109_04388_SEQ_18",""
"19","TEXT_AKTKMB109_04388_SEQ_19",""
"20","TEXT_AKTKMB109_04388_SEQ_20",""
"21","TEXT_AKTKMB109_04388_SEQ_21",""
"22","TEXT_AKTKMB109_04388_SEQ_22",""
"23","TEXT_AKTKMB109_04388_SEQ_23",""
"24","TEXT_AKTKMB109_04388_TODO_00","與尤盧斯會合並討伐被控制的帝國兵"
"25","TEXT_AKTKMB109_04388_TODO_01","和尤盧斯對話"
"26","TEXT_AKTKMB109_04388_TODO_02","與尤盧斯會合並討伐被控制的帝國兵"
"27","TEXT_AKTKMB109_04388_TODO_03","和尤盧斯對話"
"28","TEXT_AKTKMB109_04388_TODO_04","和尤盧斯會合"
"29","TEXT_AKTKMB109_04388_TODO_05","與尤盧斯會合並討伐被控制的帝國兵"
"30","TEXT_AKTKMB109_04388_TODO_06","和尤盧斯對話"
"31","TEXT_AKTKMB109_04388_TODO_07","再次和尤盧斯對話"
"32","TEXT_AKTKMB109_04388_TODO_08","繼續和尤盧斯對話"
"33","TEXT_AKTKMB109_04388_TODO_09","和阿爾菲諾對話"
"34","TEXT_AKTKMB109_04388_TODO_10","和尤盧斯對話"
"35","TEXT_AKTKMB109_04388_TODO_11",""
"36","TEXT_AKTKMB109_04388_TODO_12",""
"37","TEXT_AKTKMB109_04388_TODO_13",""
"38","TEXT_AKTKMB109_04388_TODO_14",""
"39","TEXT_AKTKMB109_04388_TODO_15",""
"40","TEXT_AKTKMB109_04388_TODO_16",""
"41","TEXT_AKTKMB109_04388_TODO_17",""
"42","TEXT_AKTKMB109_04388_TODO_18",""
"43","TEXT_AKTKMB109_04388_TODO_19",""
"44","TEXT_AKTKMB109_04388_TODO_20",""
"45","TEXT_AKTKMB109_04388_TODO_21",""
"46","TEXT_AKTKMB109_04388_TODO_22",""
"47","TEXT_AKTKMB109_04388_TODO_23",""
