"0","TEXT_FESXMS801_04658_SEQ_00","※本任務是特定期間內的任務。<hex:02100103><hex:02100103>米．凱特露天劇場的阿姆．加蘭基有事想拜託冒險者。"
"1","TEXT_FESXMS801_04658_SEQ_01","※本任務只有在季節活動開放期間才能接受和進行。<hex:02100103>　季節活動結束後無法進行，敬請注意。<hex:02100103>　詳情請參見官方網站。<hex:02100103><hex:02100103>阿姆．加蘭基請求冒險者為孩子們展示閃電的幻影，以證明洛朗桑的學說。在格里達尼亞尋找願意幫忙的孩子。"
"2","TEXT_FESXMS801_04658_SEQ_02","只找到一個願意幫忙的孩子。和格里達尼亞碧企鵝瀑布的洛朗桑談談。"
"3","TEXT_FESXMS801_04658_SEQ_03","沒能成功讓孩子們看到閃電的幻影。洛朗桑表示他需要單獨思考，便和閃電一起離開了。在碧企鵝瀑布的指定地點等待。"
"4","TEXT_FESXMS801_04658_SEQ_04","等待許久之後洛朗桑也沒有回來。在格里達尼亞的格雷洛姆農場附近尋找洛朗桑。"
"5","TEXT_FESXMS801_04658_SEQ_05","洛朗桑發現閃電失蹤後急著跑了出去。在格里達尼亞的園藝工公會附近和洛朗桑談談。"
"6","TEXT_FESXMS801_04658_SEQ_06","洛朗桑似乎因為閃電的失蹤而大受打擊。儘快讓他冷靜下來去找閃電吧。"
"7","TEXT_FESXMS801_04658_SEQ_07",""
"8","TEXT_FESXMS801_04658_SEQ_08",""
"9","TEXT_FESXMS801_04658_SEQ_09",""
"10","TEXT_FESXMS801_04658_SEQ_10",""
"11","TEXT_FESXMS801_04658_SEQ_11",""
"12","TEXT_FESXMS801_04658_SEQ_12",""
"13","TEXT_FESXMS801_04658_SEQ_13",""
"14","TEXT_FESXMS801_04658_SEQ_14",""
"15","TEXT_FESXMS801_04658_SEQ_15",""
"16","TEXT_FESXMS801_04658_SEQ_16",""
"17","TEXT_FESXMS801_04658_SEQ_17",""
"18","TEXT_FESXMS801_04658_SEQ_18",""
"19","TEXT_FESXMS801_04658_SEQ_19",""
"20","TEXT_FESXMS801_04658_SEQ_20",""
"21","TEXT_FESXMS801_04658_SEQ_21",""
"22","TEXT_FESXMS801_04658_SEQ_22",""
"23","TEXT_FESXMS801_04658_SEQ_23",""
"24","TEXT_FESXMS801_04658_TODO_00","尋找願意幫忙的孩子"
"25","TEXT_FESXMS801_04658_TODO_01","和洛朗桑對話"
"26","TEXT_FESXMS801_04658_TODO_02","在指定地點等待"
"27","TEXT_FESXMS801_04658_TODO_03","尋找洛朗桑"
"28","TEXT_FESXMS801_04658_TODO_04","和洛朗桑對話"
"29","TEXT_FESXMS801_04658_TODO_05",""
"30","TEXT_FESXMS801_04658_TODO_06",""
"31","TEXT_FESXMS801_04658_TODO_07",""
"32","TEXT_FESXMS801_04658_TODO_08",""
"33","TEXT_FESXMS801_04658_TODO_09",""
"34","TEXT_FESXMS801_04658_TODO_10",""
"35","TEXT_FESXMS801_04658_TODO_11",""
"36","TEXT_FESXMS801_04658_TODO_12",""
"37","TEXT_FESXMS801_04658_TODO_13",""
"38","TEXT_FESXMS801_04658_TODO_14",""
"39","TEXT_FESXMS801_04658_TODO_15",""
"40","TEXT_FESXMS801_04658_TODO_16",""
"41","TEXT_FESXMS801_04658_TODO_17",""
"42","TEXT_FESXMS801_04658_TODO_18",""
"43","TEXT_FESXMS801_04658_TODO_19",""
"44","TEXT_FESXMS801_04658_TODO_20",""
"45","TEXT_FESXMS801_04658_TODO_21",""
"46","TEXT_FESXMS801_04658_TODO_22",""
"47","TEXT_FESXMS801_04658_TODO_23",""
"48","TEXT_FESXMS801_04658_AMHGARANJY_000_000","哎呀，這不是冒險者嗎！<hex:02100103>好久不見，我是星芒祭執行委員長阿姆．加蘭基。<hex:02100103>以前多虧你幫忙了。"
"49","TEXT_FESXMS801_04658_AMHGARANJY_000_001","哎呀，你莫非是冒險者？！<hex:02100103>初次見面，我是星芒祭執行委員長阿姆．加蘭基。"
"50","TEXT_FESXMS801_04658_AMHGARANJY_000_002","話雖如此，你來得可真巧啊。<hex:02100103>我們為了炒熱星芒祭的氣氛，正在舉辦一項活動，<hex:02100103>正需要請來你這樣的冒險者幫忙呢……"
