"0","",""
"1","",""
"2","",""
"3","",""
"4","コンテンツの緩和","當前版本針對零式大型任務做出以下調整。<hex:02100103>　．各層攻略後不再記錄攻略進度。<hex:02100103>　．各層不再需要按順序攻略。<hex:02100103>　．寶箱必定會出現2個。<hex:02100103>　．從寶箱中獲得道具不會有每週獲得限制。<hex:02100103>"
"5","配對條件","<hex:024804F201FA03><hex:024904F201FB03>配對條件<hex:0249020103><hex:0248020103><hex:02100103>配對條件中的「任務已完成」只有在曾經完成過對應任務時才能選擇。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>目的<hex:0249020103><hex:0248020103><hex:02100103>目的「完成任務」只有在尚未獲得週獎勵時才能選擇。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>指定練習階段<hex:0249020103><hex:0248020103><hex:02100103>只有目的選擇了「練習」時才可選擇。<hex:02100103>指定練習階段並不表示可以直接跳過其他階段。<hex:02100103><hex:02100103>在申請狀態下到達每週重置時間時，申請會被取消。"
"6","記錄進度","每個玩家自身都會單獨儲存最新零式大型任務的挑戰進度，<hex:02100103>當再次進行任務時，會在前一次中斷的位置繼續進行挑戰。<hex:02100103> <hex:02100103>挑戰的進度會在<hex:024804F201FA03><hex:024904F201FB03>每週<hex:020603120303><hex:02093ADDFF07>週日<hex:FF07>週一<hex:FF07>週二<hex:FF07>週三<hex:FF07>週四<hex:FF07>週五<hex:FF07>週六<hex:03>的<hex:020821DBFF1D020919DB02030405060708090A0B0C0D0E0F101112131415161718030103>點（地球時間）<hex:0249020103><hex:0248020103>重置。"
"7","進度與報酬","在最新的零式大型任務中，<hex:02100103>進度超前的玩家在已經完成過的階段不會獲得報酬。<hex:02100103><hex:02100103>隨著隊伍中進度超前隊員的人數，<hex:02100103>寶箱的出現數量會發生變化。 <hex:02100103>　．進度超前隊員有1-4人時寶箱出現數：1個<hex:02100103>　．進度超前隊員有5人或以上時寶箱出現數：0個<hex:02100103> <hex:02100103>以單人或者不滿8人的隊伍參加最新的零式大型任務時，<hex:02100103>根據配對到的成員的進度不同，<hex:02100103>寶箱的出現數量也可能會發生變化。 "
"8","職業構成","透過配對參加最新的零式大型任務時組成的隊伍沒有重複職業。<hex:02100103>　．進攻職業會按照「近戰」「遠程物理」「遠程魔法」「無指定」的分配組成。<hex:02100103><hex:02100103>不過，根據「目的」的設定，在「無指定」一項中也可以有重複職業。<hex:02100103>　．目的選擇「完成任務」時：職業不可重複<hex:02100103>　．目的選擇「練習」時：職業可重複<hex:02100103><hex:02100103>透過配對參加最新的零式大型任務時，<hex:02100103>隊伍中的<hex:024804F201FA03><hex:024904F201FB03>「純粹治療職業」不能多於1名，「護罩治療職業」也不能多於1名，<hex:0249020103><hex:0248020103><hex:02100103>否則無法申請配對。<hex:02100103>　．純粹治療職業：白魔法師、占星術士<hex:02100103>　※最擅長為自身及隊員治療的特職<hex:02100103>　．護罩治療職業：學者、賢者<hex:02100103>　※最擅長為自身及隊員附加能夠抵禦一定傷害的防護罩的特職"
"9","組隊參加時的進度","挑戰最新的零式大型任務時，<hex:02100103>全隊都會按照隊長的進度進行挑戰。<hex:02100103><hex:02100103>即使進度有所不同的隊員也可以一同挑戰任務。<hex:02100103>　．比隊長進度落後的隊員，進度會被更新到與隊長相同。<hex:02100103>　．比隊長進度靠前的隊員，進度不會被更新。"
